"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 22:39:24 BRT 2024","Thu May 30 22:39:37 BRT 2024","12956","","Features","cadastroSeuBarriga","","","Cadastro com o campo Senha vazio",""
"passed","Thu May 30 22:38:52 BRT 2024","Thu May 30 22:39:03 BRT 2024","10690","","Features","cadastroSeuBarriga","","","Cadastro com Sucesso",""
"passed","Thu May 30 22:39:03 BRT 2024","Thu May 30 22:39:13 BRT 2024","9911","","Features","cadastroSeuBarriga","","","Cadastro com o campo Nome vazio",""
"passed","Thu May 30 22:39:13 BRT 2024","Thu May 30 22:39:24 BRT 2024","11247","","Features","cadastroSeuBarriga","","","Cadastro com o campo Email vazio",""
